iter	Passed	Remaining
422	3428	4676
423	3466	4708
424	3469	4693
425	3492	4706
426	3505	4704
427	3509	4689
428	3518	4683
429	3530	4679
430	3533	4665
431	3544	4659
432	3556	4656
433	3559	4642
434	3573	4641
435	3597	4654
436	3605	4645
437	3618	4643
438	3649	4663
439	3654	4651
440	3662	4642
441	3665	4627
442	3678	4625
443	3682	4610
444	3693	4606
445	3703	4600
446	3719	4601
447	3736	4603
448	3770	4626
449	3773	4612
450	3783	4605
451	3794	4600
452	3802	4591
453	3813	4585
454	3822	4578
455	3834	4574
456	3843	4566
457	3846	4552
458	3865	4556
459	3873	4547
460	3885	4542
461	3890	4530
462	3897	4520
463	3905	4511
464	3911	4500
465	3928	4501
466	3936	4492
467	3943	4482
468	3947	4469
469	3951	4455
470	3954	4441
471	3957	4427
472	3961	4413
473	3967	4402
474	3970	4388
475	3976	4377
476	3983	4367
477	3987	4354
478	3991	4341
479	3995	4327
480	4001	4317
481	4004	4303
482	4007	4289
483	4013	4279
484	4017	4265
485	4020	4251
486	4030	4245
487	4035	4234
488	4039	4220
489	4044	4209
490	4048	4196
491	4052	4184
492	4055	4170
493	4058	4157
494	4065	4147
495	4069	4135
496	4072	4122
497	4079	4111
498	4082	4098
499	4086	4086
500	4089	4073
501	4096	4064
502	4101	4052
503	4104	4039
504	4111	4029
505	4113	4016
506	4126	4012
507	4134	4004
508	4146	4000
509	4152	3989
510	4159	3980
511	4165	3969
512	4168	3957
513	4171	3944
514	4176	3933
515	4180	3921
516	4185	3910
517	4191	3900
518	4198	3891
519	4201	3878
520	4215	3875
521	4224	3868
522	4227	3855
523	4232	3845
524	4243	3839
525	4248	3828
526	4251	3816
527	4259	3808
528	4264	3796
529	4267	3784
530	4273	3774
531	4278	3763
532	4282	3752
533	4288	3741
534	4291	3730
535	4298	3721
536	4313	3719
537	4328	3716
538	4338	3710
539	4344	3700
540	4347	3688
541	4353	3678
542	4357	3667
543	4375	3667
544	4391	3666
545	4414	3670
546	4418	3659
547	4426	3650
548	4440	3647
549	4455	3645
550	4475	3647
551	4491	3645
552	4496	3634
553	4506	3627
554	4514	3619
555	4521	3610
556	4531	3603
557	4543	3598
558	4556	3594
559	4561	3584
560	4608	3606
561	4613	3595
562	4670	3625
563	4678	3616
564	4714	3629
565	4740	3635
566	4772	3644
567	4785	3639
568	4794	3631
569	4802	3622
570	4810	3614
571	4817	3604
572	4823	3594
573	4841	3593
574	4845	3581
575	4850	3570
576	4859	3562
577	4864	3551
578	4867	3539
579	4874	3529
580	4877	3517
581	4887	3510
582	4894	3500
583	4907	3496
584	4912	3485
585	4921	3476
586	4925	3465
587	4934	3457
588	4941	3448
589	4951	3440
590	4955	3429
591	4961	3419
592	4965	3407
593	4973	3399
594	4979	3389
595	4986	3379
596	4988	3367
597	4991	3355
598	4994	3343
599	4999	3333
600	5002	3321
601	5005	3309
602	5008	3297
603	5015	3288
604	5019	3277
605	5025	3267
606	5032	3258
607	5036	3247
608	5039	3235
609	5041	3223
610	5048	3214
611	5050	3202
612	5053	3190
613	5055	3178
614	5057	3166
615	5060	3154
616	5063	3143
617	5067	3132
618	5069	3120
619	5072	3108
620	5077	3099
621	5080	3087
622	5083	3076
623	5085	3064
624	5088	3053
625	5093	3043
626	5096	3031
627	5098	3020
628	5101	3008
629	5103	2997
630	5108	2987
631	5120	2981
632	5129	2974
633	5132	2963
634	5135	2952
635	5141	2942
636	5143	2931
637	5146	2920
638	5148	2908
639	5152	2898
640	5157	2888
641	5159	2877
642	5163	2866
643	5165	2855
644	5168	2844
645	5173	2835
646	5176	2824
647	5180	2813
648	5182	2803
649	5186	2792
650	5190	2782
651	5194	2772
652	5196	2761
653	5199	2750
654	5205	2741
655	5208	2731
656	5215	2722
657	5221	2714
658	5224	2703
659	5228	2693
660	5230	2682
661	5236	2673
662	5239	2663
663	5242	2652
664	5244	2642
665	5251	2633
666	5254	2623
667	5259	2614
668	5262	2603
669	5264	2593
670	5271	2584
671	5274	2574
672	5276	2563
673	5284	2556
674	5288	2546
675	5293	2536
676	5299	2528
677	5304	2519
678	5307	2508
679	5313	2500
680	5317	2490
681	5322	2481
682	5336	2476
683	5339	2466
684	5343	2457
685	5354	2450
686	5357	2440
687	5366	2433
688	5389	2432
689	5401	2426
690	5420	2424
691	5425	2414
692	5434	2407
693	5437	2397
694	5441	2387
695	5449	2380
696	5452	2370
697	5455	2360
698	5458	2350
699	5468	2343
700	5472	2334
701	5482	2327
702	5485	2317
703	5488	2307
704	5497	2300
705	5507	2293
706	5517	2286
707	5520	2276
708	5523	2267
709	5528	2258
710	5532	2248
711	5535	2239
712	5546	2232
713	5550	2223
714	5557	2215
715	5561	2205
716	5564	2196
717	5572	2188
718	5576	2179
719	5579	2169
720	5582	2160
721	5589	2152
722	5595	2143
723	5598	2134
724	5608	2127
725	5623	2122
726	5628	2113
727	5640	2107
728	5642	2097
729	5646	2088
730	5658	2082
731	5662	2073
732	5670	2065
733	5675	2056
734	5677	2047
735	5680	2037
736	5683	2028
737	5688	2019
738	5691	2010
739	5695	2000
740	5702	1993
741	5705	1983
742	5708	1974
743	5717	1967
744	5722	1958
745	5761	1961
746	5776	1956
747	5807	1956
748	5826	1952
749	5841	1947
750	5849	1939
751	5864	1934
752	5871	1925
753	5881	1918
754	5917	1920
755	5920	1910
756	5930	1903
757	5935	1895
758	5948	1888
759	5951	1879
760	5980	1878
761	5985	1869
762	5999	1863
763	6002	1854
764	6023	1850
765	6043	1846
766	6094	1851
767	6144	1856
768	6146	1846
769	6165	1841
770	6168	1832
771	6224	1838
772	6256	1837
773	6280	1833
774	6303	1830
775	6319	1824
776	6349	1822
777	6365	1816
778	6368	1806
779	6371	1797
780	6386	1790
781	6401	1784
782	6404	1774
783	6427	1770
784	6432	1761
785	6446	1755
786	6465	1749
787	6473	1741
788	6476	1732
789	6483	1723
790	6496	1716
791	6508	1709
792	6515	1700
793	6524	1692
794	6529	1683
795	6540	1676
796	6543	1666
797	6547	1657
798	6562	1650
799	6579	1644
800	6583	1635
801	6588	1626
802	6606	1620
803	6609	1611
804	6612	1601
805	6625	1594
806	6628	1585
807	6648	1579
808	6654	1571
809	6669	1564
810	6673	1555
811	6691	1549
812	6695	1539
813	6711	1533
814	6731	1528
815	6738	1519
816	6740	1509
817	6754	1502
818	6770	1496
819	6773	1486
820	6777	1477
821	6788	1469
822	6793	1461
823	6796	1451
824	6811	1444
825	6825	1437
826	6841	1431
827	6850	1422
828	6867	1416
829	6876	1408
830	6878	1398
831	6890	1391
832	6900	1383
833	6940	1381
834	6951	1373
835	6955	1364
836	6958	1355
837	6965	1346
838	6968	1337
839	6971	1327
840	6976	1319
841	6982	1310
842	6986	1301
843	6990	1292
844	6993	1282
845	6999	1274
846	7002	1264
847	7005	1255
848	7008	1246
849	7013	1237
850	7017	1228
851	7021	1219
852	7023	1210
853	7029	1201
854	7032	1192
855	7035	1183
856	7038	1174
857	7041	1165
858	7048	1157
859	7051	1147
860	7054	1138
861	7057	1129
862	7063	1121
863	7071	1113
864	7078	1104
865	7083	1096
866	7089	1087
867	7099	1079
868	7103	1070
869	7109	1062
870	7116	1053
871	7119	1045
872	7123	1036
873	7129	1027
874	7132	1018
875	7137	1010
876	7142	1001
877	7145	992
878	7149	984
879	7152	975
880	7155	966
881	7161	958
882	7165	949
883	7174	941
884	7177	932
885	7183	924
886	7191	916
887	7197	907
888	7205	899
889	7208	890
890	7211	882
891	7214	873
892	7217	864
893	7222	856
894	7226	847
895	7229	839
896	7231	830
897	7237	822
898	7240	813
899	7243	804
900	7247	796
901	7251	787
902	7255	779
903	7260	771
904	7264	762
905	7269	754
906	7273	745
907	7275	737
908	7278	728
909	7281	720
910	7287	711
911	7290	703
912	7293	695
913	7296	686
914	7302	678
915	7305	669
916	7311	661
917	7315	653
918	7323	645
919	7328	637
920	7333	629
921	7336	620
922	7341	612
923	7344	604
924	7349	595
925	7353	587
926	7358	579
927	7366	571
928	7369	563
929	7372	554
930	7375	546
931	7380	538
932	7383	530
933	7389	522
934	7392	513
935	7398	505
936	7400	497
937	7404	489
938	7407	481
939	7410	473
940	7414	464
941	7416	456
942	7419	448
943	7422	440
944	7426	432
945	7430	424
946	7433	416
947	7436	407
948	7439	399
949	7443	391
950	7447	383
951	7451	375
952	7454	367
953	7460	359
954	7464	351
955	7471	343
956	7477	335
957	7480	327
958	7483	319
959	7486	311
960	7492	304
961	7495	296
962	7497	288
963	7500	280
964	7503	272
965	7508	264
966	7510	256
967	7513	248
968	7515	240
969	7518	232
970	7522	224
971	7526	216
972	7528	208
973	7531	201
974	7533	193
975	7539	185
976	7542	177
977	7545	169
978	7547	161
979	7550	154
980	7560	146
981	7564	138
982	7567	130
983	7573	123
984	7576	115
985	7578	107
986	7582	99
987	7587	92
988	7590	84
989	7592	76
990	7595	68
991	7597	61
992	7602	53
993	7605	45
994	7607	38
995	7610	30
996	7613	22
997	7615	15
998	7619	7
999	7622	0
