iter	RMSE
0	0.377924324
1	0.3550307803
2	0.3350619985
3	0.3165882989
4	0.2986386193
5	0.2830554825
6	0.2676145521
7	0.2541125819
8	0.2423392352
9	0.2307527781
10	0.2214249159
11	0.21237955
12	0.2039144322
13	0.1961754408
14	0.1896172825
15	0.1837151509
16	0.1785527141
17	0.1733926948
18	0.1682190924
19	0.163487097
20	0.1596764773
21	0.1557160143
22	0.1524372733
23	0.1494955145
24	0.1465419211
25	0.1435923357
26	0.1408802449
27	0.1386937062
28	0.1361714259
29	0.1340731094
30	0.1325100395
31	0.1311101342
32	0.1298042099
33	0.128592137
34	0.1274417316
35	0.1258804248
36	0.1249209144
37	0.123973109
38	0.1228788977
39	0.1219286459
40	0.121210362
41	0.1199349755
42	0.1189625111
43	0.1181708144
44	0.1173169287
45	0.116471194
46	0.1157900906
47	0.1148303986
48	0.1140041822
49	0.1134917909
50	0.1126906982
51	0.1119308204
52	0.1114006923
53	0.1108335108
54	0.1105203072
55	0.1098772658
56	0.1092319496
57	0.1088836801
58	0.1082167877
59	0.1077914377
60	0.1071929304
61	0.1067436406
62	0.10598258
63	0.1054432778
64	0.1049929391
65	0.1044910643
66	0.1041903799
67	0.1039792446
68	0.1036347844
69	0.1032584032
70	0.1026814341
71	0.1023892943
72	0.1018789672
73	0.10138568
74	0.1009295335
75	0.1005345408
76	0.1001350654
77	0.09974225012
78	0.0995457028
79	0.09928946703
80	0.09897607907
81	0.0984746278
82	0.09802766326
83	0.09776522433
84	0.0973505644
85	0.09704144437
86	0.09662303505
87	0.0961478488
88	0.09583081886
89	0.09558143303
90	0.09505977314
91	0.09448335447
92	0.09415365951
93	0.09380243015
94	0.09355588096
95	0.09293451569
96	0.09259298141
97	0.09237525608
98	0.09197576587
99	0.09163890922
100	0.09110736577
101	0.09066682438
102	0.09036905844
103	0.08997902046
104	0.0893701512
105	0.08895900088
106	0.08876140469
107	0.08858431552
108	0.08831387306
109	0.08799027623
110	0.08786163015
111	0.08747671634
112	0.08724825899
113	0.08700964464
114	0.08676529925
115	0.08660285097
116	0.08633731793
117	0.08615099232
118	0.08588537956
119	0.08552458978
120	0.08526273232
121	0.08482461173
122	0.08424657587
123	0.08416466317
124	0.08373270692
125	0.08334941707
126	0.08313715982
127	0.0829372528
128	0.08268324362
129	0.08243734865
130	0.08217845936
131	0.08181583079
132	0.08158276292
133	0.08137910355
134	0.0811114106
135	0.08100128088
136	0.08058763629
137	0.0805174816
138	0.08015831041
139	0.08009253577
140	0.07991194848
141	0.07970932732
142	0.07943248633
143	0.07921555414
144	0.07911464622
145	0.07890036385
146	0.07854832613
147	0.07831065949
148	0.07807108204
149	0.07802101286
150	0.0777391316
151	0.07754033961
152	0.07738807954
153	0.07723224986
154	0.07709458474
155	0.07704765343
156	0.0767096442
157	0.07640236349
158	0.07608012816
159	0.07591318276
160	0.07570286097
161	0.07554988141
162	0.07539419672
163	0.07506451076
164	0.07488883346
165	0.07484396414
166	0.07467660157
